parameter,output,spearman_rho,p_value
slope%,max_depth_J4-S,0.1685,0.0002
dstore_imperv_in,max_depth_J4-S,-0.0379,0.3982
IMD,max_depth_J4-S,-0.0302,0.5011
dstore_perv_in,max_depth_J4-S,0.012,0.7896
%Imperv,max_depth_J413-S,0.5977,0.0
SubcatchWidth,max_depth_J413-S,0.4489,0.0
n_perv,max_depth_J413-S,-0.3277,0.0
n_imperv,max_depth_J413-S,-0.2509,0.0
slope%,max_depth_J413-S,0.1884,0.0
dstore_imperv_in,max_depth_J413-S,-0.0291,0.5167
dstore_perv_in,max_depth_J413-S,0.0252,0.5747
IMD,max_depth_J413-S,-0.0223,0.619
%Imperv,max_depth_J42-S,0.5883,0.0
SubcatchWidth,max_depth_J42-S,0.4422,0.0
n_perv,max_depth_J42-S,-0.394,0.0
n_imperv,max_depth_J42-S,-0.1966,0.0
slope%,max_depth_J42-S,0.1891,0.0
dstore_imperv_in,max_depth_J42-S,-0.0352,0.4327
IMD,max_depth_J42-S,-0.0254,0.5711
dstore_perv_in,max_depth_J42-S,0.0112,0.802
%Imperv,max_depth_J421-S,0.5577,0.0
SubcatchWidth,max_depth_J421-S,0.4682,0.0
n_perv,max_depth_J421-S,-0.385,0.0
n_imperv,max_depth_J421-S,-0.2342,0.0
slope%,max_depth_J421-S,0.1991,0.0
dstore_imperv_in,max_depth_J421-S,-0.0309,0.4908
IMD,max_depth_J421-S,-0.0234,0.6015
dstore_perv_in,max_depth_J421-S,-0.0052,0.9082
n_perv,max_depth_J433-S,-0.5753,0.0
SubcatchWidth,max_depth_J433-S,0.4884,0.0
%Imperv,max_depth_J433-S,0.3942,0.0
slope%,max_depth_J433-S,0.2269,0.0
n_imperv,max_depth_J433-S,-0.1302,0.0035
dstore_perv_in,max_depth_J433-S,-0.1205,0.007
dstore_imperv_in,max_depth_J433-S,-0.0296,0.5085
IMD,max_depth_J433-S,-0.0168,0.7077
%Imperv,max_depth_J437-S,0.6858,0.0
SubcatchWidth,max_depth_J437-S,0.3845,0.0
n_imperv,max_depth_J437-S,-0.2382,0.0
